2022-10-06 15:51:32,544 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-10-06 15:51:34,753 | INFO  | PListStore:[T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-10-06 15:51:34,940 | INFO  | Apache ActiveMQ 5.17.2 (localhost, ID:H82M22-56264-1665046294762-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-10-06 15:51:34,954 | INFO  | Listening for connections at: tcp://H82M22:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-10-06 15:51:34,955 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-10-06 15:51:34,958 | INFO  | Listening for connections at: amqp://H82M22:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-10-06 15:51:34,959 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-10-06 15:51:34,961 | INFO  | Listening for connections at: stomp://H82M22:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-10-06 15:51:34,962 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-10-06 15:51:34,964 | INFO  | Listening for connections at: mqtt://H82M22:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-10-06 15:51:34,964 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-10-06 15:51:34,967 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-10-06 15:51:35,024 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-10-06 15:51:35,065 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@19c6e72{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-10-06 15:51:35,155 | INFO  | Listening for connections at ws://H82M22:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-10-06 15:51:35,155 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-10-06 15:51:35,156 | INFO  | Apache ActiveMQ 5.17.2 (localhost, ID:H82M22-56264-1665046294762-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-10-06 15:51:35,156 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-10-06 15:51:35,163 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data\kahadb only has 50463 mb of usable space. - resetting to maximum available disk space: 50463 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-10-06 15:51:35,164 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data only has 50463 mb of usable space. - resetting to maximum available disk space: 50463 mb | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-10-06 15:51:35,585 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-10-06 15:51:35,586 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
